"행정구역","2019년02월_남_총인구수","2019년02월_남_연령구간인구수","2019년02월_남_0세","2019년02월_남_1세","2019년02월_남_2세","2019년02월_남_3세","2019년02월_남_4세","2019년02월_남_5세","2019년02월_남_6세","2019년02월_남_7세","2019년02월_남_8세","2019년02월_남_9세","2019년02월_남_10세","2019년02월_남_11세","2019년02월_남_12세","2019년02월_남_13세","2019년02월_남_14세","2019년02월_남_15세","2019년02월_남_16세","2019년02월_남_17세","2019년02월_남_18세","2019년02월_남_19세","2019년02월_남_20세","2019년02월_남_21세","2019년02월_남_22세","2019년02월_남_23세","2019년02월_남_24세","2019년02월_남_25세","2019년02월_남_26세","2019년02월_남_27세","2019년02월_남_28세","2019년02월_남_29세","2019년02월_남_30세","2019년02월_남_31세","2019년02월_남_32세","2019년02월_남_33세","2019년02월_남_34세","2019년02월_남_35세","2019년02월_남_36세","2019년02월_남_37세","2019년02월_남_38세","2019년02월_남_39세","2019년02월_남_40세","2019년02월_남_41세","2019년02월_남_42세","2019년02월_남_43세","2019년02월_남_44세","2019년02월_남_45세","2019년02월_남_46세","2019년02월_남_47세","2019년02월_남_48세","2019년02월_남_49세","2019년02월_남_50세","2019년02월_남_51세","2019년02월_남_52세","2019년02월_남_53세","2019년02월_남_54세","2019년02월_남_55세","2019년02월_남_56세","2019년02월_남_57세","2019년02월_남_58세","2019년02월_남_59세","2019년02월_남_60세","2019년02월_남_61세","2019년02월_남_62세","2019년02월_남_63세","2019년02월_남_64세","2019년02월_남_65세","2019년02월_남_66세","2019년02월_남_67세","2019년02월_남_68세","2019년02월_남_69세","2019년02월_남_70세","2019년02월_남_71세","2019년02월_남_72세","2019년02월_남_73세","2019년02월_남_74세","2019년02월_남_75세","2019년02월_남_76세","2019년02월_남_77세","2019년02월_남_78세","2019년02월_남_79세","2019년02월_남_80세","2019년02월_남_81세","2019년02월_남_82세","2019년02월_남_83세","2019년02월_남_84세","2019년02월_남_85세","2019년02월_남_86세","2019년02월_남_87세","2019년02월_남_88세","2019년02월_남_89세","2019년02월_남_90세","2019년02월_남_91세","2019년02월_남_92세","2019년02월_남_93세","2019년02월_남_94세","2019년02월_남_95세","2019년02월_남_96세","2019년02월_남_97세","2019년02월_남_98세","2019년02월_남_99세","2019년02월_남_100세 이상","2019년02월_여_총인구수","2019년02월_여_연령구간인구수","2019년02월_여_0세","2019년02월_여_1세","2019년02월_여_2세","2019년02월_여_3세","2019년02월_여_4세","2019년02월_여_5세","2019년02월_여_6세","2019년02월_여_7세","2019년02월_여_8세","2019년02월_여_9세","2019년02월_여_10세","2019년02월_여_11세","2019년02월_여_12세","2019년02월_여_13세","2019년02월_여_14세","2019년02월_여_15세","2019년02월_여_16세","2019년02월_여_17세","2019년02월_여_18세","2019년02월_여_19세","2019년02월_여_20세","2019년02월_여_21세","2019년02월_여_22세","2019년02월_여_23세","2019년02월_여_24세","2019년02월_여_25세","2019년02월_여_26세","2019년02월_여_27세","2019년02월_여_28세","2019년02월_여_29세","2019년02월_여_30세","2019년02월_여_31세","2019년02월_여_32세","2019년02월_여_33세","2019년02월_여_34세","2019년02월_여_35세","2019년02월_여_36세","2019년02월_여_37세","2019년02월_여_38세","2019년02월_여_39세","2019년02월_여_40세","2019년02월_여_41세","2019년02월_여_42세","2019년02월_여_43세","2019년02월_여_44세","2019년02월_여_45세","2019년02월_여_46세","2019년02월_여_47세","2019년02월_여_48세","2019년02월_여_49세","2019년02월_여_50세","2019년02월_여_51세","2019년02월_여_52세","2019년02월_여_53세","2019년02월_여_54세","2019년02월_여_55세","2019년02월_여_56세","2019년02월_여_57세","2019년02월_여_58세","2019년02월_여_59세","2019년02월_여_60세","2019년02월_여_61세","2019년02월_여_62세","2019년02월_여_63세","2019년02월_여_64세","2019년02월_여_65세","2019년02월_여_66세","2019년02월_여_67세","2019년02월_여_68세","2019년02월_여_69세","2019년02월_여_70세","2019년02월_여_71세","2019년02월_여_72세","2019년02월_여_73세","2019년02월_여_74세","2019년02월_여_75세","2019년02월_여_76세","2019년02월_여_77세","2019년02월_여_78세","2019년02월_여_79세","2019년02월_여_80세","2019년02월_여_81세","2019년02월_여_82세","2019년02월_여_83세","2019년02월_여_84세","2019년02월_여_85세","2019년02월_여_86세","2019년02월_여_87세","2019년02월_여_88세","2019년02월_여_89세","2019년02월_여_90세","2019년02월_여_91세","2019년02월_여_92세","2019년02월_여_93세","2019년02월_여_94세","2019년02월_여_95세","2019년02월_여_96세","2019년02월_여_97세","2019년02월_여_98세","2019년02월_여_99세","2019년02월_여_100세 이상"
"서울특별시 도봉구 (1132000000)","165,573","165,573","847","951","1,052","1,120","1,212","1,112","1,263","1,226","1,260","1,231","1,228","1,370","1,267","1,184","1,375","1,443","1,475","1,746","1,996","1,984","2,062","2,277","2,353","2,396","2,502","2,534","2,558","2,461","2,202","2,142","2,148","2,044","2,052","2,116","2,097","2,413","2,566","2,538","2,527","2,548","2,178","2,264","2,302","2,294","2,561","2,696","2,812","2,991","3,030","2,896","2,920","2,672","2,788","2,639","2,741","2,668","2,854","2,893","3,217","2,959","2,753","2,844","2,607","2,619","2,426","1,929","2,114","1,527","1,601","1,586","1,533","1,546","1,402","1,077","1,140","1,057","1,399","1,179","929","878","729","620","531","462","373","298","258","185","154","125","120","76","63","37","25","24","21","21","10","10","32","172,800","172,800","746","868","1,004","1,114","1,118","1,049","1,182","1,181","1,219","1,111","1,150","1,267","1,166","1,162","1,294","1,414","1,417","1,589","1,868","1,948","1,954","2,165","2,146","2,310","2,330","2,301","2,467","2,381","2,168","2,082","2,054","1,931","1,910","2,055","1,990","2,207","2,435","2,547","2,477","2,439","2,136","2,252","2,198","2,387","2,639","2,831","2,912","3,122","3,222","3,090","3,290","3,061","2,866","2,990","2,938","2,731","3,094","3,318","3,564","3,354","3,063","2,980","2,838","2,909","2,451","2,044","2,213","1,663","1,689","1,747","1,747","1,744","1,645","1,280","1,332","1,363","1,558","1,418","1,135","1,174","1,016","900","854","766","622","605","537","437","330","339","268","202","168","115","89","84","62","38","28","20","116"
"서울특별시 노원구 (1135000000)","262,888","262,888","1,388","1,609","1,755","2,001","1,922","1,905","2,251","2,148","2,302","2,166","2,466","2,742","2,640","2,616","2,948","3,198","3,048","3,427","4,167","3,889","3,854","4,096","4,212","4,356","4,352","4,153","4,066","3,687","3,217","3,201","3,108","3,008","3,085","3,217","3,183","3,628","3,823","3,966","4,061","3,943","3,580","3,702","3,799","3,925","4,417","4,689","4,880","5,119","5,279","5,068","5,069","4,451","4,457","4,185","4,246","3,883","4,255","4,384","4,438","4,048","3,787","3,741","3,457","3,361","3,297","2,653","2,817","2,079","2,118","2,123","2,012","2,018","1,784","1,336","1,450","1,351","1,697","1,369","1,163","1,073","930","812","672","599","507","393","339","268","235","210","117","101","68","34","46","41","24","23","17","12","76","278,912","278,912","1,243","1,552","1,654","1,835","1,858","1,764","2,099","2,061","2,186","2,044","2,330","2,538","2,421","2,402","2,677","2,906","2,892","3,181","3,709","3,640","3,912","3,979","3,866","3,997","3,729","3,658","3,624","3,461","3,169","3,058","3,161","2,998","3,167","3,287","3,153","3,668","3,854","4,060","4,096","4,214","3,780","4,078","4,109","4,386","4,818","5,360","5,256","5,825","5,603","5,375","5,296","4,854","4,382","4,466","4,367","4,140","4,512","4,631","4,921","4,661","4,244","4,221","3,896","3,956","3,551","2,908","3,142","2,375","2,385","2,521","2,437","2,469","2,347","1,723","1,893","1,834","2,290","1,987","1,637","1,623","1,523","1,422","1,263","1,249","1,017","861","763","639","558","454","397","334","226","180","131","122","93","61","51","29","177"
"서울특별시 은평구 (1138000000)","234,044","234,044","1,273","1,436","1,612","1,741","1,780","1,712","1,923","1,845","1,885","1,806","1,867","2,037","1,915","1,864","1,956","2,191","2,127","2,342","2,747","2,802","2,780","2,949","2,998","3,172","3,367","3,428","3,576","3,518","3,179","3,198","3,138","3,137","3,108","3,225","3,208","3,758","3,901","4,288","4,060","4,014","3,419","3,556","3,576","3,732","3,922","4,213","4,313","4,394","4,323","4,183","4,152","3,727","3,677","3,527","3,621","3,465","3,747","3,880","3,961","3,823","3,514","3,383","3,199","3,201","2,922","2,426","2,650","1,927","2,105","2,094","2,125","2,042","1,990","1,516","1,513","1,428","1,876","1,655","1,307","1,228","1,043","911","816","683","524","404","314","247","189","181","132","89","70","43","40","48","29","10","17","14","65","250,026","250,026","1,273","1,399","1,566","1,643","1,715","1,511","1,816","1,734","1,790","1,739","1,773","1,920","1,805","1,643","1,879","2,021","2,092","2,235","2,725","2,675","2,697","2,930","3,208","3,164","3,478","3,596","3,727","3,664","3,504","3,258","3,465","3,177","3,222","3,275","3,275","3,663","3,902","4,059","3,981","3,932","3,403","3,643","3,614","3,713","4,095","4,315","4,342","4,559","4,543","4,254","4,321","4,060","3,807","3,891","3,924","3,694","3,912","4,284","4,509","4,328","3,914","3,856","3,572","3,738","3,427","2,924","3,087","2,327","2,438","2,618","2,480","2,701","2,419","1,881","1,969","1,983","2,290","1,949","1,543","1,556","1,403","1,241","1,180","1,007","869","691","579","535","430","387","298","305","190","158","119","98","87","51","33","29","322"
"서울특별시 서대문구 (1141000000)","150,102","150,102","883","1,008","1,091","1,123","1,123","1,110","1,162","1,040","1,180","1,053","1,121","1,101","1,159","1,014","1,171","1,270","1,298","1,399","1,638","1,771","1,827","1,855","2,101","2,365","2,558","2,698","2,935","2,710","2,434","2,343","2,214","2,090","2,137","2,144","2,099","2,306","2,395","2,476","2,443","2,334","2,086","2,178","2,176","2,263","2,477","2,397","2,648","2,859","2,764","2,651","2,532","2,345","2,421","2,451","2,317","2,229","2,446","2,450","2,485","2,343","2,243","2,169","1,890","2,038","1,780","1,516","1,560","1,183","1,195","1,232","1,162","1,290","1,199","939","969","922","1,211","1,041","807","850","724","621","547","517","396","288","228","163","151","137","100","68","53","35","24","23","23","20","14","14","63","161,598","161,598","803","831","1,025","1,094","1,149","1,061","1,122","1,076","1,064","1,101","1,074","1,091","1,088","1,037","1,180","1,247","1,228","1,366","1,607","1,760","2,069","2,199","2,557","2,681","2,714","2,720","2,618","2,676","2,422","2,225","2,180","2,137","2,118","2,166","2,109","2,336","2,466","2,574","2,443","2,437","2,121","2,264","2,182","2,195","2,449","2,653","2,638","2,750","2,876","2,820","2,779","2,647","2,337","2,480","2,597","2,329","2,524","2,539","2,846","2,504","2,372","2,307","2,156","2,233","2,015","1,706","1,824","1,355","1,548","1,575","1,570","1,681","1,585","1,201","1,283","1,308","1,564","1,295","1,122","1,174","1,058","888","821","772","662","511","448","351","325","285","215","201","178","108","87","85","61","45","30","25","187"
"서울특별시 마포구 (1144000000)","178,039","178,039","1,285","1,312","1,474","1,469","1,411","1,307","1,475","1,384","1,437","1,353","1,495","1,601","1,407","1,341","1,386","1,555","1,438","1,616","1,812","1,894","1,963","2,155","2,313","2,605","2,821","3,093","3,239","3,371","3,057","3,027","2,990","2,892","2,924","3,105","3,078","3,472","3,403","3,562","3,173","3,167","2,903","2,831","2,907","2,922","3,166","3,269","3,282","3,410","3,266","3,204","3,029","2,686","2,619","2,661","2,604","2,474","2,511","2,658","2,749","2,520","2,228","2,156","1,978","2,077","1,840","1,449","1,594","1,181","1,192","1,237","1,228","1,262","1,147","885","993","964","1,218","1,000","847","789","714","631","531","471","354","329","256","214","151","125","102","68","52","45","23","26","26","26","11","14","72","197,333","197,333","1,205","1,234","1,366","1,445","1,343","1,364","1,458","1,344","1,428","1,263","1,431","1,514","1,351","1,333","1,465","1,431","1,356","1,582","1,807","2,031","2,172","2,541","2,725","3,175","3,381","3,493","3,828","3,854","3,637","3,484","3,477","3,512","3,570","3,450","3,339","3,560","3,622","3,576","3,395","3,402","2,987","3,166","3,156","3,010","3,228","3,431","3,423","3,472","3,409","3,194","3,121","2,931","2,538","2,740","2,794","2,491","2,571","2,757","2,904","2,738","2,501","2,503","2,316","2,296","2,125","1,802","1,913","1,446","1,532","1,694","1,703","1,713","1,533","1,284","1,375","1,243","1,494","1,309","1,126","1,105","909","908","824","787","631","535","458","409","322","313","230","196","149","92","73","77","65","42","38","28","229"
"서울특별시 양천구 (1147000000)","227,993","227,993","1,150","1,287","1,489","1,637","1,734","1,787","2,105","2,138","2,285","2,129","2,434","2,684","2,544","2,555","2,840","2,819","2,854","3,046","3,390","3,394","3,230","3,323","3,258","3,274","3,315","3,274","3,136","3,184","2,824","2,816","2,708","2,650","2,617","2,843","2,769","3,198","3,338","3,485","3,410","3,555","3,167","3,252","3,411","3,493","4,040","4,043","4,265","4,693","4,651","4,564","4,418","4,052","3,868","3,796","3,945","3,500","3,890","3,753","3,909","3,611","3,296","3,106","2,936","2,961","2,741","2,286","2,412","1,820","1,908","1,823","1,822","1,701","1,535","1,065","1,193","1,027","1,272","1,037","789","744","640","550","455","372","338","272","227","172","123","136","102","74","55","29","28","32","17","7","16","6","39","235,110","235,110","1,055","1,278","1,501","1,619","1,650","1,689","2,052","1,901","2,135","2,014","2,249","2,492","2,358","2,312","2,511","2,642","2,557","2,852","3,132","2,916","2,915","2,964","2,927","3,026","3,091","3,008","3,158","3,126","2,777","2,847","2,736","2,752","2,732","2,826","2,861","3,142","3,470","3,627","3,736","3,787","3,551","3,755","3,750","3,990","4,342","4,619","4,760","4,817","4,823","4,564","4,610","4,004","3,848","3,871","3,876","3,493","3,738","3,852","4,109","3,754","3,528","3,383","3,182","3,258","2,876","2,428","2,534","1,917","1,869","1,948","1,903","1,798","1,658","1,234","1,327","1,219","1,465","1,200","1,089","1,029","917","955","844","751","688","600","521","445","387","340","273","230","142","145","91","93","70","47","37","18","122"
"서울특별시 강서구 (1150000000)","289,661","289,661","1,969","2,181","2,441","2,526","2,337","2,458","2,597","2,505","2,371","2,160","2,246","2,497","2,249","2,144","2,238","2,419","2,469","2,652","3,103","3,076","3,166","3,324","3,566","3,835","4,067","4,271","4,663","4,961","4,838","4,851","4,903","4,904","5,075","5,122","5,219","5,697","5,810","6,002","5,629","5,546","4,636","4,685","4,511","4,460","4,849","4,963","4,875","5,002","4,759","4,644","4,527","4,119","4,022","4,003","4,130","3,939","4,371","4,641","4,822","4,618","4,235","4,176","3,863","3,807","3,521","2,958","3,239","2,332","2,464","2,506","2,445","2,357","2,183","1,657","1,615","1,430","1,707","1,305","1,153","1,003","864","722","576","557","457","396","299","248","198","162","114","109","70","42","50","35","27","20","21","10","65","306,941","306,941","1,899","2,122","2,214","2,418","2,430","2,335","2,470","2,363","2,254","2,043","2,172","2,322","2,090","1,994","2,231","2,356","2,345","2,555","3,035","2,930","3,083","3,389","3,722","4,191","4,781","5,100","5,452","5,755","5,152","5,201","5,195","5,083","5,008","5,123","4,763","5,351","5,564","5,597","5,304","5,251","4,590","4,584","4,374","4,489","4,777","4,904","4,801","4,937","4,834","4,740","4,795","4,426","4,303","4,494","4,600","4,336","4,812","5,237","5,546","5,241","4,768","4,817","4,421","4,614","4,112","3,368","3,665","2,558","2,733","2,769","2,592","2,620","2,236","1,747","1,758","1,620","1,983","1,680","1,522","1,478","1,340","1,162","1,083","1,054","913","768","694","583","557","478","411","337","226","215","121","111","85","72","37","24","146"
"서울특별시 구로구 (1153000000)","199,874","199,874","1,298","1,360","1,537","1,717","1,551","1,667","1,635","1,641","1,712","1,514","1,539","1,640","1,436","1,455","1,541","1,486","1,599","1,807","2,053","2,092","2,162","2,290","2,381","2,642","2,827","2,882","3,061","3,139","2,894","3,019","2,988","2,940","2,923","3,037","3,047","3,508","3,693","3,726","3,541","3,617","3,178","3,225","3,184","3,100","3,362","3,475","3,514","3,495","3,532","3,223","3,190","3,038","3,062","3,072","3,086","2,886","3,149","3,369","3,446","3,254","3,055","2,983","2,782","2,784","2,596","2,237","2,293","1,853","1,884","1,950","1,943","1,927","1,741","1,225","1,347","1,262","1,475","1,215","917","848","828","660","560","479","362","278","250","154","119","105","83","53","35","29","26","26","16","9","10","4","34","203,794","203,794","1,195","1,387","1,432","1,621","1,572","1,555","1,709","1,594","1,640","1,466","1,525","1,628","1,397","1,248","1,391","1,488","1,476","1,628","1,950","2,017","1,929","2,277","2,439","2,755","2,892","2,967","3,143","3,236","3,064","2,879","3,077","2,947","3,015","2,882","2,958","3,211","3,520","3,505","3,462","3,428","2,992","2,971","2,987","2,960","3,127","3,244","3,226","3,278","3,352","3,262","3,439","3,079","2,960","3,079","3,163","2,864","3,369","3,362","3,793","3,584","3,329","3,194","3,100","3,218","2,887","2,540","2,567","2,047","2,029","2,119","1,971","1,995","1,801","1,382","1,452","1,348","1,667","1,318","1,136","1,062","1,039","857","789","714","648","494","442","371","322","273","239","187","164","98","63","78","62","34","27","14","121"
"서울특별시 금천구 (1154500000)","119,004","119,004","619","744","756","833","737","737","831","720","766","685","698","754","761","681","728","802","878","886","1,148","1,189","1,352","1,427","1,448","1,657","1,874","2,052","2,194","2,324","2,138","2,093","2,044","2,034","1,936","1,935","1,882","2,056","2,041","2,052","2,009","1,973","1,581","1,750","1,565","1,658","1,825","1,916","1,918","2,037","2,035","2,038","2,122","1,862","2,050","2,086","2,178","1,965","2,172","2,229","2,322","2,224","1,964","1,835","1,693","1,748","1,522","1,308","1,369","1,120","1,121","1,086","1,084","977","998","718","752","696","882","743","527","541","440","349","288","255","198","153","156","98","95","54","39","32","18","19","12","23","12","7","9","4","52","115,153","115,153","623","685","693","778","747","668","789","728","724","645","666","737","711","692","718","812","790","897","1,067","1,139","1,230","1,380","1,484","1,659","1,767","2,010","2,036","1,985","1,840","1,762","1,686","1,646","1,599","1,608","1,535","1,687","1,707","1,720","1,592","1,597","1,431","1,420","1,464","1,557","1,585","1,821","1,823","1,891","2,039","1,981","2,040","1,978","1,970","2,033","2,081","1,894","2,128","2,178","2,321","2,190","1,976","1,829","1,740","1,794","1,749","1,371","1,409","1,180","1,118","1,226","1,113","1,196","1,074","823","868","794","995","855","645","663","590","457","449","423","359","310","254","217","185","143","131","128","82","62","47","32","39","24","18","19","102"
"서울특별시 영등포구 (1156000000)","183,440","183,440","1,259","1,334","1,370","1,548","1,430","1,308","1,342","1,243","1,248","1,192","1,190","1,367","1,143","1,133","1,250","1,334","1,322","1,475","1,715","1,817","1,890","1,924","2,056","2,212","2,592","2,788","3,286","3,420","3,267","3,436","3,537","3,343","3,292","3,402","3,340","3,522","3,609","3,554","3,358","3,240","2,736","2,701","2,825","2,611","2,935","2,937","3,057","3,183","3,167","2,969","3,039","2,711","2,789","2,835","2,894","2,700","2,984","2,965","3,037","2,858","2,717","2,696","2,395","2,471","2,241","1,821","2,012","1,561","1,532","1,622","1,598","1,586","1,433","1,157","1,138","1,022","1,292","1,032","875","872","727","629","598","541","406","306","245","175","150","111","95","82","51","38","30","25","21","25","16","13","62","184,997","184,997","1,207","1,259","1,318","1,442","1,346","1,221","1,361","1,286","1,270","1,069","1,134","1,160","1,055","1,005","1,039","1,145","1,178","1,268","1,614","1,649","1,844","2,081","2,131","2,724","3,007","3,180","3,651","3,731","3,360","3,313","3,392","3,394","3,226","3,206","3,073","3,208","3,304","3,283","2,979","2,991","2,586","2,637","2,614","2,579","2,549","2,834","2,830","2,964","2,945","2,991","2,859","2,724","2,620","2,620","2,744","2,582","2,716","3,014","3,176","2,987","2,760","2,738","2,443","2,623","2,399","1,956","2,119","1,692","1,822","1,777","1,747","1,724","1,595","1,204","1,300","1,303","1,544","1,304","1,040","1,070","935","885","826","707","634","539","479","383","318","263","242","181","150","115","92","64","64","41","27","21","196"
"서울특별시 동작구 (1159000000)","193,624","193,624","1,171","1,220","1,357","1,559","1,508","1,394","1,527","1,474","1,541","1,312","1,441","1,515","1,370","1,264","1,453","1,453","1,492","1,630","2,012","2,133","2,258","2,397","2,691","3,168","3,456","3,640","3,782","3,922","3,594","3,469","3,481","3,344","3,146","3,214","3,061","3,324","3,512","3,519","3,388","3,421","2,893","2,829","2,990","2,881","3,225","3,138","3,166","3,351","3,188","3,177","3,005","2,720","2,747","2,701","2,861","2,667","2,852","2,965","3,071","2,986","2,623","2,622","2,433","2,521","2,299","1,895","2,035","1,548","1,614","1,656","1,600","1,604","1,492","1,169","1,214","1,178","1,481","1,255","969","936","797","647","558","498","428","322","242","209","129","131","130","72","54","31","41","32","20","10","13","13","77","205,061","205,061","1,102","1,307","1,318","1,495","1,434","1,354","1,470","1,429","1,420","1,341","1,332","1,326","1,297","1,243","1,321","1,344","1,453","1,541","1,894","2,163","2,439","2,667","2,966","3,359","3,537","3,724","3,837","3,917","3,505","3,507","3,304","3,224","3,206","3,140","3,015","3,386","3,403","3,401","3,272","3,357","2,882","3,073","2,828","2,885","2,986","3,139","3,111","3,307","3,272","3,279","3,325","3,082","2,809","2,991","3,040","2,863","3,065","3,284","3,478","3,387","3,074","3,013","2,756","2,890","2,659","2,280","2,314","1,959","1,961","2,024","2,009","2,073","1,939","1,425","1,497","1,291","1,607","1,378","1,180","1,140","1,022","909","933","730","682","555","528","393","347","306","269","226","161","151","94","78","62","49","36","32","193"
"서울특별시 관악구 (1162000000)","252,249","252,249","1,181","1,264","1,382","1,459","1,436","1,358","1,424","1,444","1,388","1,337","1,404","1,485","1,397","1,354","1,441","1,577","1,598","1,749","2,199","2,471","2,645","2,902","3,433","4,121","5,239","6,042","6,956","7,330","6,769","6,550","6,244","5,577","5,185","4,872","4,566","4,733","4,837","4,719","4,521","4,289","3,687","3,610","3,673","3,656","3,797","3,989","4,092","4,117","4,058","3,834","3,654","3,282","3,421","3,469","3,414","3,211","3,486","3,499","3,670","3,503","3,281","3,061","2,833","3,004","2,753","2,275","2,499","2,089","2,124","2,180","2,101","2,065","1,887","1,479","1,623","1,438","1,879","1,497","1,190","1,143","965","786","636","537","417","329","278","202","147","132","90","71","47","36","24","21","30","21","12","4","63","250,186","250,186","1,062","1,147","1,289","1,351","1,366","1,281","1,364","1,401","1,329","1,226","1,275","1,425","1,298","1,328","1,329","1,434","1,478","1,706","1,993","2,497","3,023","3,740","4,298","5,290","6,042","6,533","6,767","6,668","5,886","5,395","5,063","4,524","4,245","4,072","3,737","3,903","4,077","4,000","3,790","3,722","3,151","3,239","3,057","3,125","3,324","3,500","3,533","3,627","3,746","3,533","3,661","3,429","3,249","3,393","3,375","3,276","3,612","3,705","4,163","3,931","3,575","3,517","3,339","3,487","3,291","2,784","2,908","2,402","2,410","2,516","2,467","2,445","2,347","1,702","1,873","1,709","2,019","1,761","1,355","1,267","1,203","997","892","787","681","550","478","402","375","286","277","226","193","119","82","87","65","41","25","25","238"
"서울특별시 서초구 (1165000000)","207,645","207,645","1,417","1,412","1,573","1,720","1,920","2,000","2,282","2,315","2,370","2,172","2,334","2,338","2,330","2,158","2,369","2,414","2,293","2,337","2,663","2,507","2,596","2,594","2,536","2,551","2,702","2,764","2,910","3,000","2,997","2,963","2,923","2,764","2,853","2,815","2,792","3,284","3,434","3,507","3,538","3,617","3,192","3,422","3,494","3,493","3,775","3,983","4,080","4,233","4,230","4,019","3,774","3,325","3,061","2,980","3,122","2,807","2,840","2,855","2,861","2,688","2,680","2,658","2,431","2,481","2,166","1,940","1,997","1,493","1,604","1,615","1,660","1,619","1,517","1,207","1,210","1,073","1,261","1,050","851","801","670","572","534","431","353","258","269","193","133","143","105","63","72","44","43","32","33","16","12","8","49","225,920","225,920","1,202","1,369","1,532","1,729","1,758","1,839","2,177","2,102","2,266","2,120","2,174","2,349","2,205","2,039","2,295","2,279","2,174","2,304","2,537","2,494","2,507","2,417","2,580","2,757","2,934","3,020","3,239","3,513","3,203","3,240","3,447","3,328","3,400","3,324","3,326","3,755","4,004","4,171","4,181","4,270","3,791","4,024","4,112","4,001","4,254","4,481","4,415","4,433","4,360","4,068","3,800","3,533","2,918","3,143","3,206","2,989","2,964","3,125","3,220","3,215","2,951","2,984","2,803","2,892","2,583","2,356","2,406","1,710","1,851","1,960","1,889","1,843","1,764","1,354","1,268","1,159","1,218","1,090","880","851","741","734","624","635","576","433","395","358","312","291","289","250","162","143","100","108","77","59","35","31","143"
"서울특별시 강남구 (1168000000)","259,712","259,712","1,403","1,543","1,579","1,833","1,928","2,141","2,461","2,450","2,633","2,402","2,717","2,985","2,877","2,901","3,067","3,309","3,102","3,369","4,002","3,557","3,512","3,335","3,306","3,420","3,524","3,690","3,963","3,979","3,810","3,860","3,829","3,645","3,736","3,643","3,638","4,099","4,136","4,416","4,274","4,404","3,898","4,146","4,144","4,358","4,594","4,572","4,996","5,419","5,462","5,298","4,878","4,379","4,062","4,058","3,929","3,741","3,602","3,558","3,577","3,282","3,081","3,208","2,977","2,934","2,755","2,354","2,548","1,865","1,986","2,028","2,117","1,965","1,891","1,463","1,512","1,298","1,524","1,199","1,053","885","811","695","568","523","408","306","273","211","163","151","108","91","69","57","41","40","19","23","18","12","51","282,629","282,629","1,204","1,381","1,649","1,799","1,820","1,971","2,299","2,272","2,381","2,298","2,449","2,760","2,726","2,553","2,761","2,872","2,795","3,027","3,654","3,253","3,343","3,445","3,365","3,724","3,774","4,056","4,426","4,481","4,298","4,497","4,358","4,298","4,310","4,336","4,364","4,764","5,105","5,322","5,218","5,289","4,781","4,985","4,947","5,033","5,332","5,575","5,650","5,808","5,749","5,426","4,869","4,517","3,782","3,994","3,939","3,767","3,534","3,787","3,932","3,696","3,627","3,622","3,470","3,639","3,273","2,914","3,109","2,140","2,293","2,433","2,266","2,329","2,222","1,513","1,514","1,426","1,439","1,331","1,124","979","930","870","763","739","669","573","535","495","426","401","362","262","247","186","129","125","81","79","59","33","202"
"서울특별시 송파구 (1171000000)","327,592","327,592","2,270","2,514","2,823","2,917","2,876","2,793","3,097","3,064","3,097","2,858","2,948","3,128","3,009","2,801","3,072","3,192","3,124","3,421","4,052","4,016","3,898","4,100","4,091","4,548","4,635","4,746","5,193","5,117","4,925","5,115","5,302","5,051","5,208","5,297","5,173","5,732","6,073","6,134","5,835","5,683","5,080","5,064","5,167","5,041","5,498","5,328","5,510","5,889","5,850","5,657","5,512","5,000","4,967","4,945","5,044","4,770","4,959","5,042","5,261","4,922","4,790","4,644","4,132","4,402","4,014","3,327","3,723","2,681","2,695","2,728","2,607","2,494","2,344","1,679","1,787","1,482","1,775","1,492","1,116","999","884","822","665","571","471","354","316","236","194","153","133","111","72","44","39","38","35","14","20","11","64","347,858","347,858","1,977","2,323","2,571","2,761","2,675","2,626","3,030","2,855","2,930","2,782","2,743","3,057","2,846","2,693","2,893","3,017","2,869","3,220","3,923","3,776","3,761","4,012","4,284","4,674","4,885","5,186","5,582","5,757","5,451","5,644","5,778","5,509","5,717","5,728","5,634","6,121","6,498","6,464","6,435","6,345","5,466","5,586","5,361","5,340","5,627","5,935","6,076","6,328","6,014","5,875","5,839","5,480","4,977","5,228","5,266","4,996","5,341","5,686","5,927","5,719","5,074","5,230","4,704","4,910","4,452","3,723","3,863","2,640","2,813","2,778","2,651","2,556","2,409","1,763","1,749","1,601","1,811","1,589","1,317","1,201","1,139","1,090","1,014","947","835","768","708","587","472","455","397","341","267","187","135","143","103","72","41","33","191"
